data_previsao;nome;valor;data_rodada;cenario
2001-07-28;boa_esperanca;0;2001-02-08;historico
2001-07-29;boa_esperanca;0;2001-02-08;historico
2001-07-30;boa_esperanca;0;2001-02-08;historico
2001-07-31;boa_esperanca;0;2001-02-08;historico
2001-08-01;boa_esperanca;0;2001-02-08;historico
2001-08-02;boa_esperanca;0;2001-02-08;historico
2001-08-03;boa_esperanca;0;2001-02-08;historico
2001-08-04;boa_esperanca;0;2001-02-08;historico
2001-08-05;boa_esperanca;0;2001-02-08;historico
2001-08-06;boa_esperanca;0;2001-02-08;historico
2001-08-07;boa_esperanca;0;2001-02-08;historico
2001-08-08;boa_esperanca;0;2001-02-08;historico
2001-08-09;boa_esperanca;0;2001-02-08;historico
2001-08-10;boa_esperanca;0;2001-02-08;historico
2001-08-11;boa_esperanca;0;2001-02-08;historico
2001-08-12;boa_esperanca;0;2001-02-08;historico
2001-08-13;boa_esperanca;0;2001-02-08;historico
2001-08-14;boa_esperanca;0;2001-02-08;historico
2001-01-30;boa_esperanca;2.6;2001-03-08;historico
2001-01-31;boa_esperanca;10;2001-03-08;historico
2001-02-01;boa_esperanca;10.3;2001-03-08;historico
2001-02-02;boa_esperanca;2.6;2001-03-08;historico
2001-02-03;boa_esperanca;6.3;2001-03-08;historico
2001-02-04;boa_esperanca;3.7;2001-03-08;historico
2001-02-05;boa_esperanca;10.7;2001-03-08;historico
2001-02-06;boa_esperanca;0.2;2001-03-08;historico
2001-02-07;boa_esperanca;0.5;2001-03-08;historico
2001-02-08;boa_esperanca;0.9;2001-03-08;historico
2001-02-09;boa_esperanca;0.8;2001-03-08;historico
2001-02-10;boa_esperanca;2.4;2001-03-08;historico
2001-02-11;boa_esperanca;1;2001-03-08;historico
2001-02-12;boa_esperanca;1.4;2001-03-08;historico
2001-02-13;boa_esperanca;1;2001-03-08;historico
2001-02-14;boa_esperanca;1.6;2001-03-08;historico
2001-02-15;boa_esperanca;5.5;2001-03-08;historico
2001-02-16;boa_esperanca;2.8;2001-03-08;historico
2001-02-17;boa_esperanca;11.1;2001-03-08;historico
