data_caso;data_assimilacao;nome;variavel;valor
2001-04-08;2001-03-25;boa_esperanca;Qcalc;555.113258867189
2001-04-08;2001-03-26;boa_esperanca;Qcalc;521.857492801828
2001-04-08;2001-03-27;boa_esperanca;Qcalc;495.614853166874
2001-04-08;2001-03-28;boa_esperanca;Qcalc;479.134869571805
2001-04-08;2001-03-29;boa_esperanca;Qcalc;465.846337988385
2001-04-08;2001-03-30;boa_esperanca;Qcalc;462.832697055051
2001-04-08;2001-03-31;boa_esperanca;Qcalc;469.805097781347
2001-04-08;2001-04-01;boa_esperanca;Qcalc;459.699100682826
2001-04-08;2001-04-02;boa_esperanca;Qcalc;467.864147513105
2001-04-08;2001-04-03;boa_esperanca;Qcalc;456.743126972944
2001-04-08;2001-04-04;boa_esperanca;Qcalc;444.436066858613
2001-04-08;2001-04-05;boa_esperanca;Qcalc;448.901616117961
2001-04-08;2001-04-06;boa_esperanca;Qcalc;439.431953890855
2001-04-08;2001-04-07;boa_esperanca;Qcalc;430.639311108579
2001-05-08;2001-04-07;boa_esperanca;Qcalc;459.557817789717
2001-05-08;2001-04-08;boa_esperanca;Qcalc;435.153995795493
2001-05-08;2001-04-09;boa_esperanca;Qcalc;415.732046715639
2001-05-08;2001-04-10;boa_esperanca;Qcalc;400.262176233767
2001-05-08;2001-04-11;boa_esperanca;Qcalc;387.930717954907
2001-05-08;2001-04-12;boa_esperanca;Qcalc;378.076878128157
2001-05-08;2001-04-13;boa_esperanca;Qcalc;370.186464052988
2001-05-08;2001-04-14;boa_esperanca;Qcalc;363.866055275934
2001-05-08;2001-04-15;boa_esperanca;Qcalc;358.79331253682
2001-05-08;2001-04-16;boa_esperanca;Qcalc;357.750606555567
2001-05-08;2001-04-17;boa_esperanca;Qcalc;367.92500823725
2001-05-08;2001-04-18;boa_esperanca;Qcalc;413.907262064664
2001-05-08;2001-04-19;boa_esperanca;Qcalc;435.372803972867
2001-05-08;2001-04-20;boa_esperanca;Qcalc;467.548510302856
2001-05-08;2001-04-21;boa_esperanca;Qcalc;520.158576592299
2001-05-08;2001-04-22;boa_esperanca;Qcalc;549.633486706827
2001-05-08;2001-04-23;boa_esperanca;Qcalc;569.186784100125
2001-05-08;2001-04-24;boa_esperanca;Qcalc;571.880078814345
2001-05-08;2001-04-25;boa_esperanca;Qcalc;533.646208147265
2001-05-08;2001-04-26;boa_esperanca;Qcalc;494.659288364831
2001-05-08;2001-04-27;boa_esperanca;Qcalc;463.466519355546
2001-05-08;2001-04-28;boa_esperanca;Qcalc;438.473366211919
2001-05-08;2001-04-29;boa_esperanca;Qcalc;418.449444104825
2001-05-08;2001-04-30;boa_esperanca;Qcalc;402.412635481957
2001-05-08;2001-05-01;boa_esperanca;Qcalc;389.581153070799
2001-05-08;2001-05-02;boa_esperanca;Qcalc;379.30722609211
2001-05-08;2001-05-03;boa_esperanca;Qcalc;371.06225537515
2001-05-08;2001-05-04;boa_esperanca;Qcalc;364.426932116176
2001-05-08;2001-05-05;boa_esperanca;Qcalc;359.068641503696
2001-05-08;2001-05-06;boa_esperanca;Qcalc;354.723538266619
2001-05-08;2001-05-07;boa_esperanca;Qcalc;351.182328199935
2001-06-08;2001-05-08;boa_esperanca;Qcalc;352.210907668808
2001-06-08;2001-05-09;boa_esperanca;Qcalc;343.395440642899
2001-06-08;2001-05-10;boa_esperanca;Qcalc;336.319818020495
2001-06-08;2001-05-11;boa_esperanca;Qcalc;361.954673947593
2001-06-08;2001-05-12;boa_esperanca;Qcalc;399.521750908699
2001-06-08;2001-05-13;boa_esperanca;Qcalc;469.84371024511
2001-06-08;2001-05-14;boa_esperanca;Qcalc;474.488126608244
2001-06-08;2001-05-15;boa_esperanca;Qcalc;441.767487588202
2001-06-08;2001-05-16;boa_esperanca;Qcalc;415.841648224801
2001-06-08;2001-05-17;boa_esperanca;Qcalc;395.323244659358
2001-06-08;2001-05-18;boa_esperanca;Qcalc;379.055793077677
2001-06-08;2001-05-19;boa_esperanca;Qcalc;366.124121071906
2001-06-08;2001-05-20;boa_esperanca;Qcalc;355.823959008556
2001-06-08;2001-05-21;boa_esperanca;Qcalc;347.607633315353
2001-06-08;2001-05-22;boa_esperanca;Qcalc;342.545197484083
2001-06-08;2001-05-23;boa_esperanca;Qcalc;337.142195326994
2001-06-08;2001-05-24;boa_esperanca;Qcalc;332.849747103991
2001-06-08;2001-05-25;boa_esperanca;Qcalc;329.38895083063
2001-06-08;2001-05-26;boa_esperanca;Qcalc;326.353122564826
2001-06-08;2001-05-27;boa_esperanca;Qcalc;323.306695685229
2001-06-08;2001-05-28;boa_esperanca;Qcalc;320.259475104183
2001-06-08;2001-05-29;boa_esperanca;Qcalc;325.724217881189
2001-06-08;2001-05-30;boa_esperanca;Qcalc;327.895607517989
2001-06-08;2001-05-31;boa_esperanca;Qcalc;324.711054947305
2001-06-08;2001-06-01;boa_esperanca;Qcalc;321.525302877776
2001-06-08;2001-06-02;boa_esperanca;Qcalc;318.342043387457
2001-06-08;2001-06-03;boa_esperanca;Qcalc;315.174603955518
2001-06-08;2001-06-04;boa_esperanca;Qcalc;312.056282555158
2001-06-08;2001-06-05;boa_esperanca;Qcalc;309.006182094512
2001-06-08;2001-06-06;boa_esperanca;Qcalc;306.022623668523
2001-06-08;2001-06-07;boa_esperanca;Qcalc;303.1039701102
2001-07-08;2001-06-07;boa_esperanca;Qcalc;288.56700322519
2001-07-08;2001-06-08;boa_esperanca;Qcalc;287.349087863827
2001-07-08;2001-06-09;boa_esperanca;Qcalc;286.144678286955
2001-07-08;2001-06-10;boa_esperanca;Qcalc;284.953557185418
2001-07-08;2001-06-11;boa_esperanca;Qcalc;283.775510954116
2001-07-08;2001-06-12;boa_esperanca;Qcalc;282.610329628438
2001-07-08;2001-06-13;boa_esperanca;Qcalc;281.457806821768
2001-07-08;2001-06-14;boa_esperanca;Qcalc;280.317739664085
2001-07-08;2001-06-15;boa_esperanca;Qcalc;279.189928741601
2001-07-08;2001-06-16;boa_esperanca;Qcalc;278.074178037443
