nome;parametro;valor
navanhanda;Kt-36;0
navanhanda;Kt-37;0
navanhanda;Kt-38;0
navanhanda;Kt-39;0
navanhanda;Kt-40;0
navanhanda;Kt-41;0
navanhanda;Kt-42;0
navanhanda;Kt-43;0
navanhanda;Kt-44;0
navanhanda;Kt-45;0
navanhanda;Kt-46;0
navanhanda;Kt-47;0
navanhanda;Kt-48;0
navanhanda;Kt-49;0
navanhanda;Kt-50;0
navanhanda;Kt-51;0
navanhanda;Kt-52;0
navanhanda;Kt-53;0
navanhanda;Kt-54;0
navanhanda;Kt-55;0
navanhanda;Kt-56;0
navanhanda;Kt-57;0
navanhanda;Kt-58;0
navanhanda;Kt-59;0
navanhanda;Kt-60;0
navanhanda;Str;466.0016759
navanhanda;K2t;2.859853866
navanhanda;Crec;0.478664215
navanhanda;Ai;0
navanhanda;Capc;0
navanhanda;K_kt;431.0000614
navanhanda;K2t2;4.450562762
navanhanda;H1;7.347744073
navanhanda;H;200
navanhanda;K3t;10
navanhanda;K1t;10
navanhanda;Ecof;1.482787416
navanhanda;Pcof;1.199315919
navanhanda;Ecof2;0
navanhanda;ktMin;3
navanhanda;ktMax;2
capivara;Area;28039
capivara;nKt;6
capivara;Kt2;0.025099765
capivara;Kt1;0.216923784
capivara;Kt0;0.387168634
capivara;Kt-1;0.293552952
capivara;Kt-2;0.076851031
capivara;Kt-3;0.000403835
capivara;Kt-4;0
capivara;Kt-5;0
capivara;Kt-6;0
capivara;Kt-7;0
capivara;Kt-8;0
capivara;Kt-9;0
capivara;Kt-10;0
capivara;Kt-11;0
capivara;Kt-12;0
capivara;Kt-13;0
capivara;Kt-14;0
capivara;Kt-15;0
capivara;Kt-16;0
capivara;Kt-17;0
capivara;Kt-18;0
capivara;Kt-19;0
capivara;Kt-20;0
capivara;Kt-21;0
capivara;Kt-22;0
capivara;Kt-23;0
capivara;Kt-24;0
capivara;Kt-25;0
capivara;Kt-26;0
capivara;Kt-27;0
capivara;Kt-28;0
capivara;Kt-29;0
capivara;Kt-30;0
capivara;Kt-31;0
capivara;Kt-32;0
capivara;Kt-33;0
capivara;Kt-34;0
capivara;Kt-35;0
capivara;Kt-36;0
capivara;Kt-37;0
capivara;Kt-38;0
capivara;Kt-39;0
capivara;Kt-40;0
capivara;Kt-41;0
capivara;Kt-42;0
capivara;Kt-43;0
capivara;Kt-44;0
capivara;Kt-45;0
capivara;Kt-46;0
capivara;Kt-47;0
capivara;Kt-48;0
capivara;Kt-49;0
capivara;Kt-50;0
capivara;Kt-51;0
capivara;Kt-52;0
capivara;Kt-53;0
capivara;Kt-54;0
capivara;Kt-55;0
capivara;Kt-56;0
capivara;Kt-57;0
capivara;Kt-58;0
capivara;Kt-59;0
capivara;Kt-60;0
capivara;Str;102.1809211
capivara;K2t;2.158573385
capivara;Crec;14.55989105
capivara;Ai;0
capivara;Capc;49.33440305
capivara;K_kt;103.8440222
capivara;K2t2;10
capivara;H1;200
capivara;H;200
capivara;K3t;10
capivara;K1t;10
capivara;Ecof;0.6
capivara;Pcof;0.665407707
capivara;Ecof2;0
capivara;ktMin;3
capivara;ktMax;2
baixoig;Area;22543
baixoig;nKt;4
baixoig;Kt2;0.302699934
baixoig;Kt1;0.525125109
baixoig;Kt0;0.170336284
baixoig;Kt-1;0.001838672
baixoig;Kt-2;0
baixoig;Kt-3;0
baixoig;Kt-4;0
baixoig;Kt-5;0
baixoig;Kt-6;0
baixoig;Kt-7;0
baixoig;Kt-8;0
baixoig;Kt-9;0
baixoig;Kt-10;0
baixoig;Kt-11;0
baixoig;Kt-12;0
baixoig;Kt-13;0
baixoig;Kt-14;0
baixoig;Kt-15;0
baixoig;Kt-16;0
baixoig;Kt-17;0
baixoig;Kt-18;0
baixoig;Kt-19;0
baixoig;Kt-20;0
baixoig;Kt-21;0
baixoig;Kt-22;0
baixoig;Kt-23;0
baixoig;Kt-24;0
baixoig;Kt-25;0
baixoig;Kt-26;0
baixoig;Kt-27;0
baixoig;Kt-28;0
baixoig;Kt-29;0
baixoig;Kt-30;0
baixoig;Kt-31;0
baixoig;Kt-32;0
baixoig;Kt-33;0
baixoig;Kt-34;0
baixoig;Kt-35;0
baixoig;Kt-36;0
