Data       Qcal
23/02/2023 000163.39 
24/02/2023 000151.71 
25/02/2023 000140.51 
26/02/2023 000133.59 
27/02/2023 000128.57 
28/02/2023 000125.42 
01/03/2023 000123.49 
02/03/2023 000120.45 
03/03/2023 000118.10 
04/03/2023 000116.91 
05/03/2023 000120.35 
06/03/2023 000125.27 
07/03/2023 000129.62 
08/03/2023 000137.00 
09/03/2023 000140.60 
10/03/2023 000142.51 
11/03/2023 000141.51 
12/03/2023 000139.86 
13/03/2023 000138.18 
