Data       Qcal
23/02/2023 001208.27 
24/02/2023 001197.42 
25/02/2023 001206.31 
26/02/2023 001235.27 
27/02/2023 001276.03 
28/02/2023 001318.81 
01/03/2023 001367.70 
02/03/2023 001396.23 
03/03/2023 001402.43 
04/03/2023 001392.10 
05/03/2023 001375.74 
06/03/2023 001367.77 
07/03/2023 001364.70 
08/03/2023 001367.67 
09/03/2023 001373.07 
10/03/2023 001379.86 
11/03/2023 001388.99 
12/03/2023 001398.64 
13/03/2023 001408.30 
