Data       Qcal
23/02/2023 001978.31 
24/02/2023 001940.00 
25/02/2023 001898.65 
26/02/2023 001872.56 
27/02/2023 001888.32 
28/02/2023 001837.71 
01/03/2023 001789.92 
02/03/2023 001727.57 
03/03/2023 001683.65 
04/03/2023 001669.64 
05/03/2023 001687.53 
06/03/2023 001774.21 
07/03/2023 001929.59 
08/03/2023 002102.21 
09/03/2023 002253.46 
10/03/2023 002370.24 
11/03/2023 002447.46 
12/03/2023 002473.53 
13/03/2023 002460.15 
