ECMWF_1;-50.35;-19.89;10.3;3.0;4.8;6.3;8.2;7.7;5.5;8.2;9.4;6.3;6.7;6.2;7.5;6.3;11.97;14.25;19.55;12.87;5.95;0.87;1.15;1.88;5.73;4.79;4.82;13.05;12.22;5.37;1.91;2.54;0.3;2.27;3.35;4.22;6.3;0.92;0.0;0.0;0.59;4.16;4.04;11.21
ECMWF_1;-44.63;-21.28;3.8;5.4;4.1;10.6;8.1;11.5;9.6;12.0;12.5;13.5;10.1;13.0;8.8;8.4;9.31;9.01;6.35;4.94;0.0;0.0;1.96;16.89;13.47;12.31;5.59;5.89;15.71;31.0;12.91;1.33;2.46;2.17;5.82;2.83;2.78;0.24;0.0;0.0;4.56;14.38;5.72;2.12
ECMWF_1;-48.16;-20.25;8.6;11.7;6.6;3.8;12.6;10.4;14.7;13.1;12.5;15.3;12.8;11.6;12.0;8.0;12.62;17.07;11.34;13.54;2.96;1.92;0.74;1.83;15.04;15.81;11.55;10.41;16.09;6.41;4.39;1.74;1.13;1.04;5.49;7.61;1.61;2.87;0.0;0.0;1.09;4.87;4.65;8.95
ECMWF_1;-46.95;-21.6;4.5;6.7;7.8;8.2;15.6;10.5;6.3;11.2;10.5;10.4;9.0;9.0;8.0;5.5;11.3;16.75;3.14;13.22;2.32;1.43;1.12;2.5;11.49;17.66;13.9;13.87;11.44;7.98;2.9;0.32;0.41;0.78;8.88;4.59;2.53;1.98;0.0;0.26;3.35;1.38;3.38;6.35
ECMWF_1;-45.04;-21.14;2.1;5.8;1.4;3.5;6.1;13.8;9.1;11.0;13.4;13.3;12.4;14.4;11.4;8.0;12.16;9.87;7.39;6.34;0.0;0.6;1.1;14.19;8.03;16.58;5.08;6.78;12.45;26.61;15.11;0.59;2.68;2.67;4.11;4.87;1.69;0.0;0.0;0.0;1.06;11.18;7.85;3.05
ECMWF_1;-46.32;-20.67;2.4;5.0;3.3;4.7;6.9;6.8;7.2;8.4;9.4;8.4;8.1;8.8;7.7;6.3;12.56;13.21;5.93;8.53;1.25;1.81;0.86;6.0;10.53;20.24;11.05;10.55;10.77;15.47;7.92;0.84;1.63;2.1;6.72;6.56;2.84;0.84;0.0;0.0;1.79;3.95;5.18;6.47
ECMWF_1;-49.18;-20.3;8.6;5.1;5.5;6.6;13.7;10.9;7.8;11.1;9.4;10.9;9.8;8.1;8.6;6.0;10.13;17.05;12.38;11.07;3.08;1.63;0.62;1.73;10.55;11.4;8.01;10.14;12.43;5.39;2.87;2.17;0.76;1.12;3.68;5.89;2.88;1.77;0.0;0.0;1.36;4.11;4.2;9.31
ECMWF_1;-45.67;-21.59;4.6;7.3;8.7;9.9;9.7;9.0;5.6;11.0;11.4;8.9;8.3;10.2;5.8;4.8;10.17;13.77;5.28;8.15;1.73;1.06;1.61;8.54;18.58;18.58;13.01;13.11;13.66;26.51;3.29;2.09;1.2;2.02;7.86;6.1;5.49;2.09;0.0;0.58;8.39;2.83;3.33;5.27
ECMWF_1;-48.18;-21.02;6.0;4.8;7.6;9.0;13.6;7.9;6.6;9.6;7.7;6.8;6.7;5.5;4.5;3.7;11.16;16.6;4.76;13.15;2.2;0.98;1.13;2.08;14.32;11.87;10.64;14.03;14.6;4.73;1.4;0.26;0.53;0.58;3.73;4.86;3.62;2.75;0.0;0.3;3.41;1.41;3.07;5.79
ECMWF_1;-45.49;-21.61;3.4;6.9;7.8;7.0;9.8;11.3;9.3;14.2;11.9;11.5;9.3;12.3;8.2;6.3;11.78;12.35;6.5;5.55;0.5;0.68;0.9;12.86;17.5;21.63;11.67;11.93;14.16;32.0;6.45;1.6;1.24;2.07;5.86;6.43;5.27;0.71;0.0;0.0;6.92;4.25;3.87;4.47
ECMWF_1;-48.55;-20.0;7.7;10.0;4.4;3.4;9.8;9.3;9.7;11.6;12.8;10.7;12.3;11.5;14.2;10.1;7.84;16.59;10.93;10.98;3.82;3.4;1.05;3.08;8.74;17.62;10.66;7.29;9.96;7.46;6.16;4.62;1.97;2.7;8.21;7.5;2.23;1.87;0.79;0.0;2.57;5.82;6.46;8.93
ECMWF_1;-51.65;-26.0;4.5;6.2;5.9;9.1;9.7;4.9;4.0;4.0;2.2;1.3;6.8;1.2;1.8;1.7;13.35;1.02;2.79;9.36;7.31;10.35;1.09;2.27;27.16;24.61;19.16;2.34;0.7;0.0;0.0;0.0;0.0;2.41;24.86;5.99;13.54;11.11;8.87;8.93;2.89;1.04;9.38;17.49
ECMWF_1;-52.0;-25.78;5.7;10.5;8.6;7.3;13.6;7.6;6.2;5.4;3.4;1.8;6.0;1.6;1.8;2.0;18.28;1.3;3.56;12.24;6.85;21.69;1.63;1.87;27.99;34.35;20.32;1.24;0.3;0.0;0.0;0.0;0.0;5.81;18.98;4.39;10.12;10.07;11.8;9.14;3.64;1.53;23.05;20.93
ECMWF_1;-53.48;-25.53;7.0;10.5;9.6;7.8;11.8;8.4;6.0;4.8;2.6;2.2;8.7;2.8;1.7;1.9;21.1;3.51;8.24;17.62;5.51;29.17;3.53;3.09;17.56;36.0;19.88;0.54;0.22;0.2;0.0;0.0;0.0;11.51;6.73;3.85;4.79;7.94;11.9;7.11;4.54;1.97;27.61;18.89
ECMWF_1;-51.74;-25.49;8.5;10.7;7.8;11.0;13.7;8.4;5.9;4.4;3.0;1.7;6.8;1.2;2.7;1.5;23.57;2.56;3.31;9.19;5.36;14.31;2.35;3.52;23.85;31.23;30.46;1.83;0.6;0.0;0.0;0.0;0.0;5.72;32.33;9.96;13.05;16.19;6.47;9.76;5.74;0.69;9.31;23.7
