-50.35 -19.89      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.6      0      1   18.5    9.5      0      0    3.3    0.7    0.2    0.1    4.5      0      0      0    1.7    0.4      0      0    0.1    0.4      2    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-44.63 -21.28      0      0    0.3    0.7    0.2      0      0      0      0      0      0      0      0      0    0.2    1.1      0    0.7    3.1    0.4      0    1.8    3.5    0.2      0    0.9    5.9   17.8    1.8    4.1    0.9      0    0.4    0.6      2    1.2    0.1      0    1.5    2.7    0.6    0.1    0.7    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.16 -20.25      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.6      0      0    8.8   11.7      0      0    8.9      2    0.5    0.2    7.4    0.1      0      0      0    0.1      0      0      0    0.5    1.7      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-46.95  -21.6      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0      0    0.1      0    0.2    5.4    0.1      0    9.9   14.9      0      0   14.1    1.8    0.7    0.5    6.5      0      0      0      0    0.8    0.3      0      0    3.4    3.1      0      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-45.04 -21.14      0      0      0    0.1    0.1      0      0      0      0      0      0      0      0      0    0.3    0.9      0    0.1    0.8    0.1      0    1.2    3.8      0      0    0.6    5.6   15.9    0.6   10.2    0.4      0    0.1    0.2    1.4    0.7    0.1      0    0.2    0.6    0.2      0    0.2    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-46.32 -20.67      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.6      0      0    2.2    0.1      0    3.6   11.4      0      0    5.5    2.8    8.9    0.8    8.8    0.2      0      0      0    0.9      1    0.1      0    0.9    1.4      0      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-49.18  -20.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.9      0      0   15.3   11.6      0      0    8.3    1.7    0.3    0.2    6.4      0      0      0    0.2    0.3      0      0      0      1    2.5    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-45.67 -21.59      0      0    0.3    0.3    0.1      0      0      0      0      0      0      0    0.1    0.1      0    1.2      0    1.6      5    0.2      0    3.5   10.3      0      0   10.6    2.1    2.9    1.9    1.9    0.1      0    0.1    0.1    0.7    0.3    0.1      0    7.9    3.5      0      0    0.3    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.18 -21.02      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0      0      0      0    2.2    2.9    0.2      0   14.6   11.3      0      0    9.4      1      1    0.8    4.7      0      0      0      0    0.3      0      0    0.6   11.2    8.6    0.8    0.1    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-45.49 -21.61      0      0      0    0.2    0.1      0      0      0      0      0      0      0      0      0    0.1    2.2      0    0.1    4.8    0.2      0    2.8   10.4      0      0    2.9    3.2    3.6      2    2.6    0.2      0      0      0    0.5    0.7    0.1      0      4    2.3    0.1      0    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
